,taxon_name_w_authors,201905_accepted_name_w_author,202204_taxon_name_w_authors,202204_chained_accepted_name_w_author,202204_chained_accepted_species,202204_direct_accepted_name_w_author,202204_direct_accepted_species,202204_chained_accepted_genus,202204_direct_accepted_genus
count,19113,19113,19113,19113,18346,19113,18836,19113,19113
unique,19113,9322,9322,9265,8750,10756,10200,2778,2979
top,Xylanche Beck,Cestrum L.,Cestrum L.,Cestrum L.,Panicum acuminatum,Sasaella masamuneana (Makino) Hatus. & Muroi,Sasaella masamuneana,Panicum,Cyperus
freq,1,182,182,182,65,63,63,430,373
