,taxon_name_w_authors,v12_direct_accepted_name_w_author,v12_direct_accepted_species
count,1361139,1361139,1319935
unique,1361139,428535,357511
top,Dryopteris cheilanthoides var. subplana C.Chr.,Rosa canina L.,Rosa canina
freq,1,1096,1096
