,taxon_name_w_authors,v11_accepted_name_w_author,v12_taxon_name_w_authors,v12_chained_accepted_name_w_author,v12_chained_accepted_species,v12_direct_accepted_name_w_author,v12_direct_accepted_species
107,Sedum taiwanianum S.S.Ying,Sedum nokoense Yamam.,Sedum nokoense Yamam.,Sedum nokoense Yamam.,Sedum nokoense,Sedum taiwanianum S.S.Ying,Sedum taiwanianum
807,Neodypsis Baill.,Dypsis Noronha ex Mart.,Dypsis Noronha ex Mart.,Dypsis Noronha ex Mart.,,Chrysalidocarpus H.Wendl.,
1048,Racosperma centrinervium (Maiden & Blakely) Pedley,Acacia lineata A.Cunn. ex G.Don,Acacia lineata A.Cunn. ex G.Don,Acacia lineata A.Cunn. ex G.Don,Acacia lineata,Acacia centrinervia Maiden & Blakely,Acacia centrinervia
1215,Viola filipes Greene,Viola canina subsp. canina,Viola canina subsp. canina,Viola canina subsp. canina,Viola canina,Viola adunca Sm.,Viola adunca
1246,Cornuella Pierre,Chrysophyllum L.,Chrysophyllum L.,Chrysophyllum L.,,Cornuella Pierre,
1840,Conohoria passoura DC.,Rinorea flavescens (Aubl.) Kuntze,Rinorea flavescens (Aubl.) Kuntze,Rinorea flavescens (Aubl.) Kuntze,Rinorea flavescens,Rinorea pubiflora (Benth.) Sprague & Sandwith,Rinorea pubiflora
2035,Capsicum conicum Vell.,Capsicum baccatum var. baccatum,Capsicum baccatum var. baccatum,Capsicum baccatum var. baccatum,Capsicum baccatum,Capsicum chinense Jacq.,Capsicum chinense
2260,Metrosideros apocynifolia Salisb.,Angophora costata (Gaertn.) Britten,Angophora costata (Gaertn.) Britten,Angophora costata (Gaertn.) Britten,Angophora costata,Angophora costata subsp. costata,Angophora costata
4502,Alnus incana var. lobata Wittr.,Alnus incana (L.) Moench,Alnus incana (L.) Moench,Alnus incana (L.) Moench,Alnus incana,Alnus incana subsp. incana,Alnus incana
5569,Angophora lanceolata var. angustifolia A.Gray,Angophora bakeri E.C.Hall,Angophora bakeri E.C.Hall,Angophora bakeri E.C.Hall,Angophora bakeri,Angophora bakeri subsp. bakeri,Angophora bakeri
5570,Eucalyptus apocynifolia (Salisb.) Brooker,Angophora costata (Gaertn.) Britten,Angophora costata (Gaertn.) Britten,Angophora costata (Gaertn.) Britten,Angophora costata,Angophora costata subsp. costata,Angophora costata
5572,Angophora lanceolata var. hispida A.Cunn. ex A.Gray,Angophora costata (Gaertn.) Britten,Angophora costata (Gaertn.) Britten,Angophora costata (Gaertn.) Britten,Angophora costata,Angophora costata subsp. costata,Angophora costata
5866,Angraecum longinode Frapp. ex Cordem.,Angraecum patens Frapp. ex Cordem.,Angraecum patens Frapp. ex Cordem.,Angraecum patens Frapp. ex Cordem.,Angraecum patens,Angraecum costatum Frapp. ex Cordem.,Angraecum costatum
5939,Mystacidium spicatum Cordem.,Angraecum tenellum (Ridl.) Schltr.,Angraecum tenellum (Ridl.) Schltr.,Angraecum tenellum (Ridl.) Schltr.,Angraecum tenellum,Angraecum parvulum Ayres ex S.Moore,Angraecum parvulum
8355,Aspidosperma marcgravianum Woodson,Aspidosperma excelsum Benth.,Aspidosperma excelsum Benth.,Aspidosperma excelsum Benth.,Aspidosperma excelsum,Aspidosperma marcgravianum Woodson,Aspidosperma marcgravianum
9893,Betula pubescens f. falcata Laest.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens,Betula pubescens var. pubescens,Betula pubescens
9895,Betula pubescens f. latisquama Laest.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens,Betula pubescens var. pubescens,Betula pubescens
9897,Betula pubescens f. obtusata Laest.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens,Betula pubescens var. pubescens,Betula pubescens
9899,Betula pubescens f. barbara Laest.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens,Betula pubescens var. pubescens,Betula pubescens
9901,Betula pubescens f. submontana Laest.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens,Betula pubescens var. pubescens,Betula pubescens
