,202207_202207
number of new accepted species names,418152
number of old accepted species names,418152
new accepted species names which were previously published,377069
number of new species names,965735
number of old species names,965735
new species names not in old,0
species names have disappearedbut this could be due to orthographic changes with authorship,0
