,taxon_name_w_authors,202204_accepted_name_w_author,202412_taxon_name_w_authors,202412_chained_accepted_name_w_author,202412_chained_accepted_species,202412_direct_accepted_name_w_author,202412_direct_accepted_species,202412_chained_accepted_genus,202412_direct_accepted_genus
count,18892,18892,18892,18892,18251,18892,18345,18892,18892
unique,18892,9018,9018,8914,8466,10748,10111,2697,2756
top,Pyramidium Boiss.,Crocus vernus (L.) Hill,Crocus vernus (L.) Hill,Crocus vernus (L.) Hill,Crocus vernus,Crocus duplex Weston,Crocus duplex,Piper,Senecio
freq,1,67,67,68,68,66,66,321,383
