,taxon_name_w_authors,202406_accepted_name_w_author,202412_taxon_name_w_authors,202412_chained_accepted_name_w_author,202412_chained_accepted_species,202412_direct_accepted_name_w_author,202412_direct_accepted_species
110003,Aleuritopteris pseudoargentea S.K.Wu,Hemionitis subdimorpha (C.B.Clarke & Baker) Christenh.,Hemionitis subdimorpha (C.B.Clarke & Baker) Christenh.,Aleuritopteris subdimorpha (C.B.Clarke & Baker) Fraser-Jenk.,Aleuritopteris subdimorpha,Aleuritopteris pseudoargentea S.K.Wu,Aleuritopteris pseudoargentea
110023,Cyathea attenuata Fée,Cyathea gardneri Hook.,Cyathea gardneri Hook.,Sphaeropteris gardneri (Hook.) R.M.Tryon,Sphaeropteris gardneri,Cyathea mexiae Copel.,Cyathea mexiae
110025,Cyathea badia Domin,Alsophila bullata Baker,Alsophila bullata Baker,Alsophila bullata Baker,Alsophila bullata,Gymnosphaera boivinii (Mett. ex Ettingsh.) Tardieu,Gymnosphaera boivinii
110027,Cyathea balakrishnanii R.D.Dixit & A.K.Tripathi,Alsophila gigantea Wall. ex Hook.,Alsophila gigantea Wall. ex Hook.,Alsophila gigantea Wall. ex Hook.,Alsophila gigantea,Gymnosphaera gigantea (Wall. ex Hook.) S.Y.Dong,Gymnosphaera gigantea
110028,Cyathea barbata Bory; Kuhn,Cyathea tenera (J.Sm.) Moore,Cyathea tenera (J.Sm.) Moore,Cyathea tenera (J.Sm.) Moore,Cyathea tenera,Cyathea arborea (L.) Sm.,Cyathea arborea
110042,Cyathea bonii Christ,Alsophila podophylla Hook.,Alsophila podophylla Hook.,Gymnosphaera podophylla (Hook.) Copel.,Gymnosphaera podophylla,Gymnosphaera bonii (Christ) S.Y.Dong,Gymnosphaera bonii
110062,Allosorus acutifolius C.Presl,Pteridium aquilinum (L.) Kuhn,Pteridium aquilinum (L.) Kuhn,Pteridium aquilinum (L.) Kuhn,Pteridium aquilinum,Pteridium aquilinum subsp. aquilinum ,Pteridium aquilinum
110088,Cyathea farinosa Domin,Cyathea gibbosa Domin,Cyathea gibbosa Domin,Cyathea gibbosa Domin,Cyathea gibbosa,Cyathea farinosa Domin,Cyathea farinosa
110108,Allosorus brunonianus (Wall. ex Hook. & Grev.) J.Sm.,Cryptogramma brunoniana Wall. ex Hook. & Grev.,Cryptogramma brunoniana Wall. ex Hook. & Grev.,Cryptogramma brunoniana Wall. ex Hook. & Grev.,Cryptogramma brunoniana,Cryptogramma brunoniana subsp. brunoniana ,Cryptogramma brunoniana
110117,Allosorus capensis (Kaulf.) C.Presl,Pteridium aquilinum (L.) Kuhn,Pteridium aquilinum (L.) Kuhn,Pteridium aquilinum (L.) Kuhn,Pteridium aquilinum,Pteridium aquilinum subsp. capense (Thunb.) C.Chr.,Pteridium aquilinum
110123,Cyathea incisa Sm.,Cystopteris fragilis subsp. fragilis ,Cystopteris fragilis subsp. fragilis ,Cystopteris fragilis subsp. fragilis ,Cystopteris fragilis,Cystopteris alpina (Jacq.) Desv.,Cystopteris alpina
110126,Cyathea incurvata Kunze,Cyathea gardneri Hook.,Cyathea gardneri Hook.,Sphaeropteris gardneri (Hook.) R.M.Tryon,Sphaeropteris gardneri,Cyathea mexiae Copel.,Cyathea mexiae
110128,Cyathea insularis Domin,Alsophila bullata Baker,Alsophila bullata Baker,Alsophila bullata Baker,Alsophila bullata,Gymnosphaera boivinii (Mett. ex Ettingsh.) Tardieu,Gymnosphaera boivinii
110154,Allosorus coriifolius (Kunze) Pappe & Rawson,Pteridium capense (Thunb.) Krasser,Pteridium capense (Thunb.) Krasser,Pteridium aquilinum subsp. capense (Thunb.) C.Chr.,Pteridium aquilinum,Pteridium aquilinum subsp. aquilinum ,Pteridium aquilinum
110157,Cyathea loddigesii Domin,Alsophila australis R.Br.,Alsophila australis R.Br.,Alsophila australis R.Br.,Alsophila australis,Alsophila australis var. australis ,Alsophila australis
110158,Cyathea longipaleata Alston,Alsophila melleri (Baker) R.M.Tryon,Alsophila melleri (Baker) R.M.Tryon,Alsophila melleri (Baker) R.M.Tryon,Alsophila melleri,Alsophila muelleri (Baker) R.M.Tryon,Alsophila muelleri
110162,Cyathea mamillata Fée,Cyathea gardneri Hook.,Cyathea gardneri Hook.,Sphaeropteris gardneri (Hook.) R.M.Tryon,Sphaeropteris gardneri,Cyathea mexiae Copel.,Cyathea mexiae
110168,Cyathea melanotricha (Tardieu) Tindale,Alsophila bullata Baker,Alsophila bullata Baker,Alsophila bullata Baker,Alsophila bullata,Gymnosphaera boivinii (Mett. ex Ettingsh.) Tardieu,Gymnosphaera boivinii
110190,Allosorus esculentus (G.Forst.) C.Presl,Pteridium esculentum (G.Forst.) Cockayne,Pteridium esculentum (G.Forst.) Cockayne,Pteridium esculentum (G.Forst.) Cockayne,Pteridium esculentum,Pteridium esculentum subsp. esculentum ,Pteridium esculentum
110223,Cyathea ramispinoides M.Kato,Alsophila ramispinoides Lehnert,Alsophila ramispinoides Lehnert,Alsophila ramispinoides Lehnert,Alsophila ramispinoides,Gymnosphaera ramispinoides (M.Kato) S.Y.Dong,Gymnosphaera ramispinoides
110255,Cyathea superfusa Kze.; Ettingsh.,Cyathea gardneri Hook.,Cyathea gardneri Hook.,Sphaeropteris gardneri (Hook.) R.M.Tryon,Sphaeropteris gardneri,Cyathea mexiae Copel.,Cyathea mexiae
110257,Cyathea taunaysiana Glaz. & Fée,Cyathea gardneri Hook.,Cyathea gardneri Hook.,Sphaeropteris gardneri (Hook.) R.M.Tryon,Sphaeropteris gardneri,Cyathea mexiae Copel.,Cyathea mexiae
110273,Cyathea venulosa Wall.,Alsophila gigantea Wall. ex Hook.,Alsophila gigantea Wall. ex Hook.,Alsophila gigantea Wall. ex Hook.,Alsophila gigantea,Gymnosphaera gigantea (Wall. ex Hook.) S.Y.Dong,Gymnosphaera gigantea
110285,Dichorexia gigantea C.Presl,Alsophila gigantea Wall. ex Hook.,Alsophila gigantea Wall. ex Hook.,Alsophila gigantea Wall. ex Hook.,Alsophila gigantea,Gymnosphaera gigantea (Wall. ex Hook.) S.Y.Dong,Gymnosphaera gigantea
110294,Gymnosphaera gigantea (Wall.) J.Sm.,Alsophila gigantea Wall. ex Hook.,Alsophila gigantea Wall. ex Hook.,Alsophila gigantea Wall. ex Hook.,Alsophila gigantea,Gymnosphaera gigantea (Wall. ex Hook.) S.Y.Dong,Gymnosphaera gigantea
110321,Hemitelia brunoniana C.B.Clarke,Alsophila costularis Baker,Alsophila costularis Baker,Alsophila costularis Baker,Alsophila costularis,Sphaeropteris brunoniana (Hook.) R.M.Tryon,Sphaeropteris brunoniana
110327,Adiantum arborescens Poir.,Hypolepis tenuifolia (Forst.) Bernh.,Hypolepis tenuifolia (Forst.) Bernh.,Hypolepis tenuifolia (Forst.) Bernh.,Hypolepis tenuifolia,Hypolepis tenuifolia Carse,Hypolepis tenuifolia
110343,Allosorus recurvatus (Wall. ex J.Agardh) C.Presl,Pteridium revolutum (Blume) Nakai,Pteridium revolutum (Blume) Nakai,Pteridium aquilinum subsp. wightianum (J.Agardh) W.C.Shieh,Pteridium aquilinum,Pteridium aquilinum subsp. aquilinum ,Pteridium aquilinum
110353,Hemitelia truncata Christ,Sphaeropteris teysmannii (Copel.) R.M.Tryon,Sphaeropteris teysmannii (Copel.) R.M.Tryon,Sphaeropteris teysmannii (Copel.) R.M.Tryon,Sphaeropteris teysmannii,Sphaeropteris truncata (Brack.) R.M.Tryon,Sphaeropteris truncata
110387,Sphaeropteris concinna (Baker) R.M.Tryon,Cyathea concinna Jenman,Cyathea concinna Jenman,Cyathea concinna Jenman,Cyathea concinna,Sphaeropteris felina (Roxb.) Pic.Serm.,Sphaeropteris felina
110409,Allosorus villosus C.Presl,Pteridium aquilinum (L.) Kuhn,Pteridium aquilinum (L.) Kuhn,Pteridium aquilinum (L.) Kuhn,Pteridium aquilinum,Pteridium aquilinum subsp. aquilinum ,Pteridium aquilinum
110483,Davallia affinis Hook.,Lindsaea pectinata Blume,Lindsaea pectinata Blume,Lindsaea pectinata Blume,Lindsaea pectinata,Davallodes hymenophylloides (Blume) M.Kato & Tsutsumi,Davallodes hymenophylloides
110495,Davallia attenuata Lodd.,Davallia denticulata (Burm.) Mett.; Kuhn,Davallia denticulata (Burm.) Mett.; Kuhn,Davallia denticulata (Burm.) Mett.; Kuhn,Davallia denticulata,Davallia denticulata Kuhn,Davallia denticulata
110501,Anogramma paradoxa Fée,Elaphoglossum dimorphum (Hook. & Grev.) T.Moore,Elaphoglossum dimorphum (Hook. & Grev.) T.Moore,Elaphoglossum dimorphum (Hook. & Grev.) T.Moore,Elaphoglossum dimorphum,Elaphoglossum furcatum Christ,Elaphoglossum furcatum
110513,Davallia caudata Wall.,Davallia denticulata (Burm.) Mett.; Kuhn,Davallia denticulata (Burm.) Mett.; Kuhn,Davallia denticulata (Burm.) Mett.; Kuhn,Davallia denticulata,Davallia denticulata Kuhn,Davallia denticulata
110515,Davallia chinensis (L.) Sm.,Odontosoria chinensis (L.) J.Sm.,Odontosoria chinensis (L.) J.Sm.,Odontosoria chinensis (L.) J.Sm.,Odontosoria chinensis,Odontosoria chinensis subsp. chinensis ,Odontosoria chinensis
110519,Davallia coniifolia Wall.,Davallia denticulata (Burm.) Mett.; Kuhn,Davallia denticulata (Burm.) Mett.; Kuhn,Davallia denticulata (Burm.) Mett.; Kuhn,Davallia denticulata,Davallia denticulata Kuhn,Davallia denticulata
110523,Anogramma ruiziana Fée,Jamesonia flexuosa (Humb. & Bonpl.) Christenh.,Jamesonia flexuosa (Humb. & Bonpl.) Christenh.,Jamesonia flexuosa (Humb. & Bonpl.) Christenh.,Jamesonia flexuosa,Jamesonia retrofracta (Grev. & Hook.) A.Rojas,Jamesonia retrofracta
110531,Davallia distans Kaulf.,Saccoloma inaequale (Kunze) Mett.,Saccoloma inaequale (Kunze) Mett.,Saccoloma inaequale (Kunze) Mett.,Saccoloma inaequale,Saccoloma distans (Kaulf.) Schwartsb.,Saccoloma distans
110553,Davallia impressa Copel.,Davallia denticulata (Burm.) Mett.; Kuhn,Davallia denticulata (Burm.) Mett.; Kuhn,Davallia denticulata (Burm.) Mett.; Kuhn,Davallia denticulata,Davallia denticulata Kuhn,Davallia denticulata
110568,Davallia longifolia Roxb.,Grammitis alata (Blume) C.V.Morton,Grammitis alata (Blume) C.V.Morton,Prosaptia alata (Blume) Christ,Prosaptia alata,Davallia divaricata Blume,Davallia divaricata
110616,Davallia serrata Willd.,Davallia repens (L.f.) Kuhn,Davallia repens (L.f.) Kuhn,Davallia repens (L.f.) Kuhn,Davallia repens,Davallia serrata Willd.,Davallia serrata
110635,Davallia toppingii (Copel.) C.Chr.,Grammitis alata (Blume) C.V.Morton,Grammitis alata (Blume) C.V.Morton,Prosaptia alata (Blume) Christ,Prosaptia alata,Prosaptia pinnatifida C.Presl,Prosaptia pinnatifida
110656,Davallodes hymenophylloides (Blume) M.Kato & Tsutsumi,Lindsaea pectinata Blume,Lindsaea pectinata Blume,Lindsaea pectinata Blume,Lindsaea pectinata,Davallodes hymenophylloides (Blume) M.Kato & Tsutsumi,Davallodes hymenophylloides
110657,Davallodes imbricata (Ching) M.Kato & Tsutsumi,Davallodes pulchra (D.Don) M.Kato & Tsutsumi,Davallodes pulchra (D.Don) M.Kato & Tsutsumi,Davallodes pulchra (D.Don) M.Kato & Tsutsumi,Davallodes pulchra,Davallodes squamata (Decne.) Mazumdar,Davallodes squamata
110667,Davallodes yunnanensis (Christ) M.Kato & Tsutsumi,Davallodes pulchra (D.Don) M.Kato & Tsutsumi,Davallodes pulchra (D.Don) M.Kato & Tsutsumi,Davallodes pulchra (D.Don) M.Kato & Tsutsumi,Davallodes pulchra,Davallodes yunnanensis (Christ) M.Kato & Tsutsumi,Davallodes yunnanensis
110669,Humata affinis Mett.,Lindsaea pectinata Blume,Lindsaea pectinata Blume,Lindsaea pectinata Blume,Lindsaea pectinata,Davallodes hymenophylloides (Blume) M.Kato & Tsutsumi,Davallodes hymenophylloides
110692,Humata hymenophylloides Copel.,Lindsaea pectinata Blume,Lindsaea pectinata Blume,Lindsaea pectinata Blume,Lindsaea pectinata,Davallodes hymenophylloides (Blume) M.Kato & Tsutsumi,Davallodes hymenophylloides
110719,Humata seramensis (M.Kato) M.Kato & Tsutsumi,Dicranopteris seramensis M.Kato,Dicranopteris seramensis M.Kato,Dicranopteris seramensis M.Kato,Dicranopteris seramensis,Davallia seramensis M.Kato,Davallia seramensis
110730,Leucostegia affinis J.Sm.,Lindsaea pectinata Blume,Lindsaea pectinata Blume,Lindsaea pectinata Blume,Lindsaea pectinata,Davallodes hymenophylloides (Blume) M.Kato & Tsutsumi,Davallodes hymenophylloides
110735,Leucostegia hymenophylloides Bedd.,Lindsaea pectinata Blume,Lindsaea pectinata Blume,Lindsaea pectinata Blume,Lindsaea pectinata,Davallodes hymenophylloides (Blume) M.Kato & Tsutsumi,Davallodes hymenophylloides
110758,Pachypleuria pusilloides (Copel.) M.Kato,Davallia repens (L.f.) Kuhn,Davallia repens (L.f.) Kuhn,Davallia repens (L.f.) Kuhn,Davallia repens,Davallia pusilloides (Copel.) Parris,Davallia pusilloides
110771,Rumohra hispida (Sw.) Copel.,"Parapolystichum acuminatum (Houlston) Labiak, Sundue & R.C.Moran","Parapolystichum acuminatum (Houlston) Labiak, Sundue & R.C.Moran","Parapolystichum acuminatum (Houlston) Labiak, Sundue & R.C.Moran",Parapolystichum acuminatum,Lastreopsis hispida (Sw.) Tindale,Lastreopsis hispida
110775,Rumohra quadrangularis (Fée) Brade,Rumohra adiantiformis (G.Forst.) Ching,Rumohra adiantiformis (G.Forst.) Ching,Rumohra adiantiformis (G.Forst.) Ching,Rumohra adiantiformis,Rumohra quadrangularis (Fée) Brade,Rumohra quadrangularis
110791,Wibelia chaerophylloides (Poir.) M.Kato & Tsutsumi,Davallia denticulata (Burm.) Mett.; Kuhn,Davallia denticulata (Burm.) Mett.; Kuhn,Davallia denticulata (Burm.) Mett.; Kuhn,Davallia denticulata,Davallia chaerophylloides (Poir.) Steud.,Davallia chaerophylloides
110793,Wibelia denticulata (Burm.f.) M.Kato & Tsutsumi,Davallia denticulata (Burm.) Mett.; Kuhn,Davallia denticulata (Burm.) Mett.; Kuhn,Davallia denticulata (Burm.) Mett.; Kuhn,Davallia denticulata,Davallia denticulata Kuhn,Davallia denticulata
110810,Cincinalis esculenta Trevis.,Pteridium esculentum (G.Forst.) Cockayne,Pteridium esculentum (G.Forst.) Cockayne,Pteridium esculentum (G.Forst.) Cockayne,Pteridium esculentum,Pteridium esculentum subsp. esculentum ,Pteridium esculentum
110811,Cincinalis gleditschii Gueldenst.,Pteridium aquilinum (L.) Kuhn,Pteridium aquilinum (L.) Kuhn,Pteridium aquilinum (L.) Kuhn,Pteridium aquilinum,Pteridium aquilinum subsp. aquilinum ,Pteridium aquilinum
110812,Cincinalis lanuginosa Trevis.,Pteridium aquilinum (L.) Kuhn,Pteridium aquilinum (L.) Kuhn,Pteridium aquilinum (L.) Kuhn,Pteridium aquilinum,Pteridium aquilinum subsp. capense (Thunb.) C.Chr.,Pteridium aquilinum
110854,Filix-foemina vulgaris Hill,Pteridium aquilinum (L.) Kuhn,Pteridium aquilinum (L.) Kuhn,Pteridium aquilinum (L.) Kuhn,Pteridium aquilinum,Pteridium aquilinum subsp. aquilinum ,Pteridium aquilinum
110872,Hypolepis boryana C.Presl,Hypolepis tenuifolia (Forst.) Bernh.,Hypolepis tenuifolia (Forst.) Bernh.,Hypolepis tenuifolia (Forst.) Bernh.,Hypolepis tenuifolia,Hypolepis tenuifolia Carse,Hypolepis tenuifolia
110882,Hypolepis ekmanii Maxon,Hypolepis nuda Mett.; Kuhn,Hypolepis nuda Mett.; Kuhn,Hypolepis nuda Mett.; Kuhn,Hypolepis nuda,Hypolepis ekmanii Maxon,Hypolepis ekmanii
110909,Hypolepis sellowiana Klotzsch,Hypolepis rigescens (Kunze) T.Moore,Hypolepis rigescens (Kunze) T.Moore,Hypolepis rigescens (Kunze) T.Moore,Hypolepis rigescens,"Tryonia myriophylla (Sw.) Schuettp., J.Prado & A.T.Cochran",Tryonia myriophylla
110945,Lindsaea angustata Wall.,Lindsaea ensifolia var. ensifolia ,Lindsaea ensifolia var. ensifolia ,Lindsaea ensifolia var. ensifolia ,Lindsaea ensifolia,Lindsaea ensifolia Sw.,Lindsaea ensifolia
110951,Lindsaea brevifolia Reinw.,Lindsaea lucida subsp. lucida ,Lindsaea lucida subsp. lucida ,Lindsaea lucida subsp. lucida ,Lindsaea lucida,Lindsaea lucida Blume,Lindsaea lucida
110997,Lindsaea longipinna Wall.,Lindsaea ensifolia var. ensifolia ,Lindsaea ensifolia var. ensifolia ,Lindsaea ensifolia var. ensifolia ,Lindsaea ensifolia,Lindsaea ensifolia Sw.,Lindsaea ensifolia
111002,Lindsaea mertensiana Kunze,Lindsaea ensifolia var. ensifolia ,Lindsaea ensifolia var. ensifolia ,Lindsaea ensifolia var. ensifolia ,Lindsaea ensifolia,Lindsaea ensifolia Sw.,Lindsaea ensifolia
111011,Lindsaea polita Wall.,Lindsaea ensifolia var. ensifolia ,Lindsaea ensifolia var. ensifolia ,Lindsaea ensifolia var. ensifolia ,Lindsaea ensifolia,Lindsaea ensifolia Sw.,Lindsaea ensifolia
111020,Lindsaea rutlandia R.D.Dixit & B.Ghosh,Lindsaea ensifolia var. ensifolia ,Lindsaea ensifolia var. ensifolia ,Lindsaea ensifolia var. ensifolia ,Lindsaea ensifolia,Lindsaea ensifolia Sw.,Lindsaea ensifolia
111022,Lindsaea schizoloma Ettingsh.,Lindsaea ensifolia var. ensifolia ,Lindsaea ensifolia var. ensifolia ,Lindsaea ensifolia var. ensifolia ,Lindsaea ensifolia,Lindsaea ensifolia Sw.,Lindsaea ensifolia
111031,Lindsaea spinulosa Brause,Didymochlaena truncatula (Sw.) J.Sm.,Didymochlaena truncatula (Sw.) J.Sm.,Didymochlaena truncatula (Sw.) J.Sm.,Didymochlaena truncatula,Didymochlaena spinulosa (Brause) Li Bing Zhang & H.Shang,Didymochlaena spinulosa
111045,Lindsaea vittata Zoll.,Lindsaea ensifolia var. ensifolia ,Lindsaea ensifolia var. ensifolia ,Lindsaea ensifolia var. ensifolia ,Lindsaea ensifolia,Lindsaea ensifolia Sw.,Lindsaea ensifolia
111052,Lonchitis adscensionis Forst.,Pteris dentata Forssk.,Pteris dentata Forssk.,Pteris dentata Forssk.,Pteris dentata,Pteris adscensionis Sw.,Pteris adscensionis
111062,Microlepia affinis C.Presl,Lindsaea pectinata Blume,Lindsaea pectinata Blume,Lindsaea pectinata Blume,Lindsaea pectinata,Davallodes hymenophylloides (Blume) M.Kato & Tsutsumi,Davallodes hymenophylloides
111073,Microlepia cristata J.Sm.,Microlepia strigosa (Thunb.) C.Presl,Microlepia strigosa (Thunb.) C.Presl,Microlepia strigosa (Thunb.) C.Presl,Microlepia strigosa,Microlepia strigosa Prantl,Microlepia strigosa
111076,Microlepia distans J.Sm.,Saccoloma inaequale (Kunze) Mett.,Saccoloma inaequale (Kunze) Mett.,Saccoloma inaequale (Kunze) Mett.,Saccoloma inaequale,Saccoloma distans (Kaulf.) Schwartsb.,Saccoloma distans
111095,Microlepia macrorhomboidea Sarn.Singh & Panigrahi,Microlepia rhomboidea (Wall. ex Kunze) Prantl,Microlepia rhomboidea (Wall. ex Kunze) Prantl,Microlepia rhomboidea (Wall. ex Kunze) Prantl,Microlepia rhomboidea,Microlepia rhomboidea C.Presl,Microlepia rhomboidea
111096,Microlepia macrosora A.Biswas,Microlepia rhomboidea (Wall. ex Kunze) Prantl,Microlepia rhomboidea (Wall. ex Kunze) Prantl,Microlepia rhomboidea (Wall. ex Kunze) Prantl,Microlepia rhomboidea,Microlepia rhomboidea C.Presl,Microlepia rhomboidea
111098,Microlepia mauiensis W.H.Wagner,Microlepia setosa (Sm.) Alston,Microlepia setosa (Sm.) Alston,Microlepia setosa (Sm.) Alston,Microlepia setosa,Microlepia setosa var. mauiensis (W.H.Wagner) Miles K.Thomas,Microlepia setosa
111101,Microlepia micangshanensis X.S.Guo & B.Li,Microlepia pseudostrigosa Tardieu & C.Chr.,Microlepia pseudostrigosa Tardieu & C.Chr.,Microlepia pseudostrigosa Tardieu & C.Chr.,Microlepia pseudostrigosa,Microlepia pseudostrigosa Makino,Microlepia pseudostrigosa
111109,Microlepia oblongifolia A.Biswas,Microlepia rhomboidea (Wall. ex Kunze) Prantl,Microlepia rhomboidea (Wall. ex Kunze) Prantl,Microlepia rhomboidea (Wall. ex Kunze) Prantl,Microlepia rhomboidea,Microlepia rhomboidea C.Presl,Microlepia rhomboidea
111123,Microlepia schimperi Mett.,Asplenium theciferum (Kunth) Mett.,Asplenium theciferum (Kunth) Mett.,Asplenium theciferum (Kunth) Mett.,Asplenium theciferum,Asplenium theciferum var. concinnum (Schrad.) Schelpe,Asplenium theciferum
111124,Microlepia sikkimensis A.Biswas,Microlepia rhomboidea (Wall. ex Kunze) Prantl,Microlepia rhomboidea (Wall. ex Kunze) Prantl,Microlepia rhomboidea (Wall. ex Kunze) Prantl,Microlepia rhomboidea,Microlepia rhomboidea C.Presl,Microlepia rhomboidea
111125,Microlepia singhii Panigrahi,Microlepia rhomboidea (Wall. ex Kunze) Prantl,Microlepia rhomboidea (Wall. ex Kunze) Prantl,Microlepia rhomboidea (Wall. ex Kunze) Prantl,Microlepia rhomboidea,Microlepia rhomboidea C.Presl,Microlepia rhomboidea
111128,Microlepia tamenlongensis A.Biswas,Microlepia rhomboidea (Wall. ex Kunze) Prantl,Microlepia rhomboidea (Wall. ex Kunze) Prantl,Microlepia rhomboidea (Wall. ex Kunze) Prantl,Microlepia rhomboidea,Microlepia rhomboidea C.Presl,Microlepia rhomboidea
111129,Microlepia tenuifolia C.Presl,Lindsaea pectinata Blume,Lindsaea pectinata Blume,Lindsaea pectinata Blume,Lindsaea pectinata,Davallodes hymenophylloides (Blume) M.Kato & Tsutsumi,Davallodes hymenophylloides
111136,Microlepia viridula A.Biswas,Microlepia rhomboidea (Wall. ex Kunze) Prantl,Microlepia rhomboidea (Wall. ex Kunze) Prantl,Microlepia rhomboidea (Wall. ex Kunze) Prantl,Microlepia rhomboidea,Microlepia rhomboidea C.Presl,Microlepia rhomboidea
111141,Odontoloma bifidum Mett.,Lindsaea bifida Mett.,Lindsaea bifida Mett.,Lindsaea bifida Mett.,Lindsaea bifida,Lindsaea bifida Christ,Lindsaea bifida
111161,Ornithopteris esculenta J.Sm.,Pteridium esculentum (G.Forst.) Cockayne,Pteridium esculentum (G.Forst.) Cockayne,Pteridium esculentum (G.Forst.) Cockayne,Pteridium esculentum,Pteridium esculentum subsp. esculentum ,Pteridium esculentum
111171,Paesia aquilina Keyserl.,Pteridium aquilinum (L.) Kuhn,Pteridium aquilinum (L.) Kuhn,Pteridium aquilinum (L.) Kuhn,Pteridium aquilinum,Pteridium aquilinum subsp. aquilinum ,Pteridium aquilinum
111176,Paesia luzonica Christ,Paesia radula (Baker) C.Chr.,Paesia radula (Baker) C.Chr.,Paesia radula (Baker) C.Chr.,Paesia radula,Paesia luzonica Christ,Paesia luzonica
111184,Pteridium ceheginense Joaquin,Pteridium aquilinum (L.) Kuhn,Pteridium aquilinum (L.) Kuhn,Pteridium aquilinum (L.) Kuhn,Pteridium aquilinum,Pteridium aquilinum subsp. aquilinum ,Pteridium aquilinum
