,taxon_name_w_authors,202406_accepted_name_w_author,202412_taxon_name_w_authors,202412_chained_accepted_name_w_author,202412_chained_accepted_species,202412_direct_accepted_name_w_author,202412_direct_accepted_species,202412_chained_accepted_genus,202412_direct_accepted_genus
60061,Abrotanum mas Garsault,Artemisia alba Turra,Artemisia alba Turra,Artemisia alba Turra,Artemisia alba,Dryopteris filix-mas subsp. filix-mas ,Dryopteris filix-mas,Artemisia,Dryopteris
65110,Agathyrsus caeruleus (Sm.) D.Don,Lactuca alpina Benth. & Hook.f.,Lactuca alpina Benth. & Hook.f.,Lactuca alpina Benth. & Hook.f.,Lactuca alpina,Cicerbita alpina (L.) Wallr.,Cicerbita alpina,Lactuca,Cicerbita
109689,Struthiopteris appendiculata Trevis.,Blechnum occidentale L.,Blechnum occidentale L.,Blechnum occidentale L.,Blechnum occidentale,Blechnum appendiculatum Willd.,Blechnum appendiculatum,Blechnum,Blechnum
109691,Struthiopteris brasiliensis (Raddi) Maxon & C.V.Morton,Blechnum cordatum Hieron.,Blechnum cordatum Hieron.,Parablechnum cordatum (Desv.) Gasper & Salino,Parablechnum cordatum,Parablechnum brasiliense (Raddi) M.T.Medeiros & Schwartsb.,Parablechnum brasiliense,Parablechnum,Parablechnum
109710,Struthiopteris imperialis (Fée & Glaz.) Ching,Blechnum schomburgkii C.Chr.,Blechnum schomburgkii C.Chr.,Lomariocycas schomburgkii (Klotzsch) Gasper & A.R.Sm.,Lomariocycas schomburgkii,Lomariocycas tabularis (Thunb.) Gasper & A.R.Sm.,Lomariocycas tabularis,Lomariocycas,Lomariocycas
109740,Woodwardia kunthiana Fée,Blechnum norfolkense Christenh.,Blechnum norfolkense Christenh.,Blechnum norfolkense Christenh.,Blechnum norfolkense,Doodia kunthiana Gaudich.,Doodia kunthiana,Blechnum,Doodia
109754,Alsophila adspersa Klf.; Kze.,Grammitis adspersa Blume,Grammitis adspersa Blume,Oreogrammitis adspersa (Blume) Parris,Oreogrammitis adspersa,Dicksonia karsteniana (Klotzsch) T.Moore,Dicksonia karsteniana,Oreogrammitis,Dicksonia
109792,Alsophila crassicaula R.M.Tryon,Sphaeropteris ledermannii (Brause) R.M.Tryon,Sphaeropteris ledermannii (Brause) R.M.Tryon,Sphaeropteris ledermannii (Brause) R.M.Tryon,Sphaeropteris ledermannii,Alsophila crassicaula R.M.Tryon,Alsophila crassicaula,Sphaeropteris,Alsophila
109826,Alsophila gammiei R.D.Dixit,Alsophila henryi Baker,Alsophila henryi Baker,Gymnosphaera henryi (Baker) S.R.Ghosh,Gymnosphaera henryi,Gymnosphaera gammiei (R.D.Dixit) S.Y.Dong,Gymnosphaera gammiei,Gymnosphaera,Gymnosphaera
109827,Alsophila gazellae Kuhn,Sphaeropteris lunulata (Forst.) R.M.Tryon,Sphaeropteris lunulata (Forst.) R.M.Tryon,Sphaeropteris lunulata (Forst.) R.M.Tryon,Sphaeropteris lunulata,Pleocnemia cumingiana C.Presl,Pleocnemia cumingiana,Sphaeropteris,Pleocnemia
