,202312_202112
number of new accepted species names,416165
number of old accepted species names,419760
new accepted species names which were previously published,340469
number of new species names,964986
number of old species names,1021625
new species names not in old,98962
species names have disappearedbut this could be due to orthographic changes with authorship,155601
