,v11_v14
number of old unaccepted species names,668725
old unaccepted species names are now accepted,3418
Number of old Synonyms which are now accepted,2806
Number of old Unplaceds which are now accepted,403
Number of old Illegitimates which are now accepted,185
Number of old Invalids which are now accepted,21
Number of old Misapplieds which are now accepted,5
