,201905_202306
number of old unaccepted species names,457554
old unaccepted species names are now accepted,12051
Number of old Synonyms which are now accepted,12022
Number of old Homotypicsynonyms which are now accepted,5
Number of old Heterotypicsynonyms which are now accepted,25
