,202112_202306,Percentages
original_names,1246738,100.0
total_disagreements,20990,1.6835935056122457
species_disagreements,4791,0.38428282445870743
genus_disagreements,758,0.06079866018361516
unresolved_via_chaining_despite_a_direct_resolution,0,0.0
