,201905_202207
number of old unaccepted species names,457554
old unaccepted species names are now accepted,10851
Number of old Synonyms which are now accepted,10824
Number of old Heterotypicsynonyms which are now accepted,25
Number of old Homotypicsynonyms which are now accepted,3
