,taxon_name_w_authors,v12_accepted_name_w_author,v13_taxon_name_w_authors,v13_chained_accepted_name_w_author,v13_chained_accepted_species,v13_direct_accepted_name_w_author,v13_direct_accepted_species
3233,Crotalaria rotundifolia var. linaria (Small) Fernald & B.G.Schub.,Crotalaria rotundifolia J.F.Gmel.,Crotalaria rotundifolia J.F.Gmel.,Crotalaria rotundifolia J.F.Gmel.,Crotalaria rotundifolia,Crotalaria rotundifolia var. linaria (Small) Fernald & B.G.Schub.,Crotalaria rotundifolia
3374,Crotalaria maritima var. linaria (Small) H.Senn,Crotalaria rotundifolia J.F.Gmel.,Crotalaria rotundifolia J.F.Gmel.,Crotalaria rotundifolia J.F.Gmel.,Crotalaria rotundifolia,Crotalaria rotundifolia var. linaria (Small) Fernald & B.G.Schub.,Crotalaria rotundifolia
3730,Camissonia boothii var. villosa (S.Watson) Cronquist,Eremothera boothii subsp. alyssoides (Hook. & Arn.) W.L.Wagner & Hoch,Eremothera boothii subsp. alyssoides (Hook. & Arn.) W.L.Wagner & Hoch,Eremothera boothii var. alyssoides (Hook. & Arn.) Tiehm,Eremothera boothii,Eremothera boothii var. villosa (S.Watson) Tiehm,Eremothera boothii
4305,Mesembryanthemum lacunatum N.E.Br.,Eberlanzia schneideriana (A.Berger) H.E.K.Hartmann,Eberlanzia schneideriana (A.Berger) H.E.K.Hartmann,Eberlanzia schneideriana (A.Berger) H.E.K.Hartmann,Eberlanzia schneideriana,Eberlanzia velutina (L.Bolus) Klak & P.C.van Wyk,Eberlanzia velutina
4879,"Dactylorhiza purpurella var. maculosa (T.Stephenson) Kreutz, H.Dekker & L.Lewis",Dactylorhiza majalis subsp. purpurella (T.Stephenson & T.A.Stephenson) D.M.Moore & Soó,Dactylorhiza majalis subsp. purpurella (T.Stephenson & T.A.Stephenson) D.M.Moore & Soó,Dactylorhiza purpurella (T.Stephenson & T.A.Stephenson) Soó,Dactylorhiza purpurella,Dactylorhiza purpurella var. purpurella,Dactylorhiza purpurella
4880,Dactylorhiza majalis var. maculosa (T.Stephenson) R.M.Bateman & Denholm,Dactylorhiza majalis subsp. purpurella (T.Stephenson & T.A.Stephenson) D.M.Moore & Soó,Dactylorhiza majalis subsp. purpurella (T.Stephenson & T.A.Stephenson) D.M.Moore & Soó,Dactylorhiza purpurella (T.Stephenson & T.A.Stephenson) Soó,Dactylorhiza purpurella,Dactylorhiza purpurella var. purpurella,Dactylorhiza purpurella
5291,Ornithogalum umbellatum subsp. campestre (Savi) Rouy,Ornithogalum umbellatum L.,Ornithogalum umbellatum L.,Ornithogalum umbellatum L.,Ornithogalum umbellatum,Ornithogalum umbellatum subsp. campestre (Savi) Rouy,Ornithogalum umbellatum
5292,Ornithogalum campestre (Savi) Prain,Ornithogalum umbellatum L.,Ornithogalum umbellatum L.,Ornithogalum umbellatum L.,Ornithogalum umbellatum,Ornithogalum umbellatum subsp. campestre (Savi) Rouy,Ornithogalum umbellatum
5648,Dendrophthoe bicolor (Roxb.) Mart.,Dendrophthoe falcata (L.f.) Ettingsh.,Dendrophthoe falcata (L.f.) Ettingsh.,Dendrophthoe falcata (L.f.) Ettingsh.,Dendrophthoe falcata,Dendrophthoe falcata var. falcata,Dendrophthoe falcata
6062,Myrica pumila (Michx.) Small,Myrica cerifera L.,Myrica cerifera L.,Myrica cerifera L.,Myrica cerifera,Myrica pusilla Raf.,Myrica pusilla
