,v12_v13,Percentages
original_names,1371868,100.0
total_disagreements,2893,0.21088034708878697
species_disagreements,1457,0.10620555330396218
genus_disagreements,144,0.010496636702656523
unresolved_via_chaining_despite_a_direct_resolution,0,0.0
