,202406_202112
number of new accepted species names,416165
number of old accepted species names,422863
new accepted species names which were previously published,335007
number of new species names,964986
number of old species names,1037275
new species names not in old,113877
species names have disappearedbut this could be due to orthographic changes with authorship,186166
