,taxon_name_w_authors,v10_accepted_name_w_author,v12_taxon_name_w_authors,v12_chained_accepted_name_w_author,v12_chained_accepted_species,v12_direct_accepted_name_w_author,v12_direct_accepted_species,v12_chained_accepted_genus,v12_direct_accepted_genus
813,Zedoaria Raf.,Amomum Roxb.,Amomum Roxb.,Amomum Roxb.,,Curcuma L.,,Amomum,Curcuma
1925,Andreettaea Luer,Pleurothallis R.Br.,Pleurothallis R.Br.,Pleurothallis R.Br.,,Andreettaea Luer,,Pleurothallis,Andreettaea
13532,Phyllotaenium André,Caladium Vent.,Caladium Vent.,Caladium Vent.,,Phyllotaenium André,,Caladium,Phyllotaenium
13982,Paraphaius J.W.Zhai & F.W.Xing,Calanthe R.Br.,Calanthe R.Br.,Calanthe R.Br.,,Phaius Lour.,,Calanthe,Phaius
13983,Pachyne Salisb.,Calanthe R.Br.,Calanthe R.Br.,Calanthe R.Br.,,Phaius Lour.,,Calanthe,Phaius
13984,Cyanorkis Thouars,Calanthe R.Br.,Calanthe R.Br.,Calanthe R.Br.,,Phaius Lour.,,Calanthe,Phaius
13988,Limatodis Blume,Calanthe R.Br.,Calanthe R.Br.,Calanthe R.Br.,,Phaius Lour.,,Calanthe,Phaius
13995,Tankervillia Link,Calanthe R.Br.,Calanthe R.Br.,Calanthe R.Br.,,Phaius Lour.,,Calanthe,Phaius
13998,Hecabe Raf.,Calanthe R.Br.,Calanthe R.Br.,Calanthe R.Br.,,Phaius Lour.,,Calanthe,Phaius
14000,Pesomeria Lindl.,Calanthe R.Br.,Calanthe R.Br.,Calanthe R.Br.,,Phaius Lour.,,Calanthe,Phaius
14002,Phaius Lour.,Calanthe R.Br.,Calanthe R.Br.,Calanthe R.Br.,,Phaius Lour.,,Calanthe,Phaius
14004,Phajus Hassk.,Calanthe R.Br.,Calanthe R.Br.,Calanthe R.Br.,,Phaius Lour.,,Calanthe,Phaius
15045,Martiusella Pierre,Chrysophyllum L.,Chrysophyllum L.,Chrysophyllum L.,,Martiusella Pierre,,Chrysophyllum,Martiusella
15057,Ragala Pierre,Chrysophyllum L.,Chrysophyllum L.,Chrysophyllum L.,,Ragala Pierre,,Chrysophyllum,Ragala
15059,Chloroluma Baill.,Chrysophyllum L.,Chrysophyllum L.,Chrysophyllum L.,,Chloroluma Baill.,,Chrysophyllum,Chloroluma
17415,Prieurella Pierre,Chrysophyllum L.,Chrysophyllum L.,Chrysophyllum L.,,Prieurella Pierre,,Chrysophyllum,Prieurella
17468,Achrouteria Eyma,Chrysophyllum L.,Chrysophyllum L.,Chrysophyllum L.,,Achrouteria Eyma,,Chrysophyllum,Achrouteria
17488,Cornuella Pierre,Chrysophyllum L.,Chrysophyllum L.,Chrysophyllum L.,,Cornuella Pierre,,Chrysophyllum,Cornuella
17491,Fibrocentrum Pierre ex Glaziou,Chrysophyllum L.,Chrysophyllum L.,Chrysophyllum L.,,Chloroluma Baill.,,Chrysophyllum,Chloroluma
28603,Chrysalidocarpus H.Wendl.,Dypsis Noronha ex Mart.,Dypsis Noronha ex Mart.,Dypsis Noronha ex Mart.,,Chrysalidocarpus H.Wendl.,,Dypsis,Chrysalidocarpus
28604,Phlogella Baill.,Dypsis Noronha ex Mart.,Dypsis Noronha ex Mart.,Dypsis Noronha ex Mart.,,Chrysalidocarpus H.Wendl.,,Dypsis,Chrysalidocarpus
28607,Antongilia Jum.,Dypsis Noronha ex Mart.,Dypsis Noronha ex Mart.,Dypsis Noronha ex Mart.,,Vonitra Becc.,,Dypsis,Vonitra
28611,Neodypsis Baill.,Dypsis Noronha ex Mart.,Dypsis Noronha ex Mart.,Dypsis Noronha ex Mart.,,Chrysalidocarpus H.Wendl.,,Dypsis,Chrysalidocarpus
28614,Vonitra Becc.,Dypsis Noronha ex Mart.,Dypsis Noronha ex Mart.,Dypsis Noronha ex Mart.,,Vonitra Becc.,,Dypsis,Vonitra
28615,Macrophloga Becc.,Dypsis Noronha ex Mart.,Dypsis Noronha ex Mart.,Dypsis Noronha ex Mart.,,Chrysalidocarpus H.Wendl.,,Dypsis,Chrysalidocarpus
32088,Eugenia doniana O.Berg,Eugenia stictopetala DC.,Eugenia stictopetala DC.,Eugenia stictopetala DC.,Eugenia stictopetala,Myrcia doniana O.Berg,Myrcia doniana,Eugenia,Myrcia
53237,Nothomyrcia Kausel,Myrceugenia O.Berg,Myrceugenia O.Berg,Myrceugenia O.Berg,,Nothomyrcia Kausel,,Myrceugenia,Nothomyrcia
56034,Dipladenia tetradenia Rusby,Odontadenia lutea (Vell.) Markgr.,Odontadenia lutea (Vell.) Markgr.,Odontadenia lutea (Vell.) Markgr.,Odontadenia lutea,Mandevilla alexicaca (Mart. ex Stadelm.) J.F.Morales & A.Fuentes,Mandevilla alexicaca,Odontadenia,Mandevilla
56142,Angraecum pescatorianum Lindl.,Oeoniella polystachys (Thouars) Schltr.,Oeoniella polystachys (Thouars) Schltr.,Oeoniella polystachys (Thouars) Schltr.,Oeoniella polystachys,Listrostachys pertusa (Lindl.) Rchb.f.,Listrostachys pertusa,Oeoniella,Listrostachys
60563,Phyllanthodendron Hemsl.,Phyllanthus L.,Phyllanthus L.,Phyllanthus L.,,Glochidion J.R.Forst. & G.Forst.,,Phyllanthus,Glochidion
77391,Eugenia tenuiramis Miq.,Syzygium zeylanicum (L.) DC.,Syzygium zeylanicum (L.) DC.,Syzygium zeylanicum (L.) DC.,Syzygium zeylanicum,Eugenia egensis DC.,Eugenia egensis,Syzygium,Eugenia
