,v10_v11
number of new accepted species names,358191
number of old accepted species names,356292
new accepted species names which were previously published,354099
number of new species names,1026625
number of old species names,1023695
new species names not in old,9377
species names have disappearedbut this could be due to orthographic changes with authorship,6447
