,202406_202306
number of new accepted species names,414787
number of old accepted species names,422863
new accepted species names which were previously published,352710
number of new species names,1013334
number of old species names,1037275
new species names not in old,54049
species names have disappearedbut this could be due to orthographic changes with authorship,77990
