,v11_v12
number of old accepted species names,358191
old accepted species names are no longer accepted,1897
Number which are now Synonym of which (homotypic)/(heterotypic),1598/808/790
Number which are now Illegitimate of which (homotypic)/(heterotypic),174/63/111
Number which are now Invalid of which (homotypic)/(heterotypic),24/2/22
Number which are now Unplaced of which (homotypic)/(heterotypic),98/0/98
Number which are now Misapplied of which (homotypic)/(heterotypic),5/2/3
