taxon_name_w_authors,v10_accepted_name_w_author,v14_taxon_name_w_authors,v14_chained_accepted_name_w_author,v14_chained_accepted_species,v14_direct_accepted_name_w_author,v14_direct_accepted_species
37,37,37,37,35,37,36
37,32,32,32,30,32,31
Dammara rumphii C.Presl,Solanum alatum Moench,Solanum alatum Moench,Solanum villosum Mill.,Solanum villosum,Solanum emulans Raf.,Solanum emulans
1,2,2,2,2,2,2
