,v10_v14
number of new accepted species names,364367
number of old accepted species names,356292
new accepted species names which were previously published,348675
number of new species names,1039899
number of old species names,1023695
new species names not in old,34209
species names have disappearedbut this could be due to orthographic changes with authorship,18005
