taxon_name_w_authors,v10_accepted_name_w_author,v14_taxon_name_w_authors,v14_chained_accepted_name_w_author,v14_chained_accepted_species,v14_direct_accepted_name_w_author,v14_direct_accepted_species
Lastrea attenuata J.Sm.,Thelypteris brackenridgei (Mett.) C.F.Reed,Thelypteris brackenridgei (Mett.) C.F.Reed,Thelypteris brackenridgei (Mett.) C.F.Reed,Thelypteris brackenridgei,Thelypteris attenuata (Kuntze) C.V.Morton,Thelypteris attenuata
Amomum latifolium Lam.,Zingiber zerumbet (L.) Roscoe ex Sm.,Zingiber zerumbet (L.) Roscoe ex Sm.,Zingiber zerumbet (L.) Roscoe ex Sm.,Zingiber zerumbet,Curcuma longa L.,Curcuma longa
Systemonodaphne Mez,Kubitzkia van der Werff,Kubitzkia van der Werff,Kubitzkia van der Werff,,Phyllostemonodaphne Kosterm.,
Bryonia scabrata Blume,Zehneria scabra (L.f.) Sond.,Zehneria scabra (L.f.) Sond.,Zehneria scabra (L.f.) Sond.,Zehneria scabra,Zehneria scabra subsp. scabra,Zehneria scabra
Oreocarya affinis var. euaffinis Brand,Cryptantha affinis (A.Gray) Greene,Cryptantha affinis (A.Gray) Greene,Cryptantha affinis (A.Gray) Greene,Cryptantha affinis,Oreocarya glomerata (Fraser ex Pursh) Greene,Oreocarya glomerata
Epacris heteronema var. planifolia Benth.,Epacris stuartii Stapf,Epacris stuartii Stapf,Epacris stuartii Stapf,Epacris stuartii,Epacris heteronema Labill.,Epacris heteronema
Acinodendron coeruleum (D.Don) Kuntze,Miconia coelestis (D.Don) Naudin,Miconia coelestis (D.Don) Naudin,Miconia coelestis (D.Don) Naudin,Miconia coelestis,Miconia coerulea (D.Don) Naudin,Miconia coerulea
Cremanium coeruleum D.Don,Miconia coelestis (D.Don) Naudin,Miconia coelestis (D.Don) Naudin,Miconia coelestis (D.Don) Naudin,Miconia coelestis,Miconia coerulea (D.Don) Naudin,Miconia coerulea
Sonchus toletanus Sennen,Sonchus × novocastellanus Cirujano,Sonchus × novocastellanus Cirujano,Sonchus × novocastellanus Cirujano,Sonchus × novocastellanus,Sonchus tenerrimus subsp. tenerrimus,Sonchus tenerrimus
Luisia laurifolia M.R.Almeida,Luisia tenuifolia Blume,Luisia tenuifolia Blume,Cleisostoma tenuifolium (L.) Garay,Cleisostoma tenuifolium,Luisia birchea Blume,Luisia birchea
Argyreia hirsuta var. coacta C.B.Clarke,Argyreia hirsuta Wight & Arn.,Argyreia hirsuta Wight & Arn.,Argyreia hirsuta Wight & Arn.,Argyreia hirsuta,Argyreia coacta (C.B.Clarke) Alston,Argyreia coacta
Ipomoea coacta (C.B.Clarke) J.R.I.Wood & Scotland,Argyreia hirsuta Wight & Arn.,Argyreia hirsuta Wight & Arn.,Argyreia hirsuta Wight & Arn.,Argyreia hirsuta,Argyreia coacta (C.B.Clarke) Alston,Argyreia coacta
Hypericum acutum var. rotundifolium (Willk.) Schinz,Hypericum undulatum var. boeticum (Boiss.) Lange,Hypericum undulatum var. boeticum (Boiss.) Lange,Hypericum undulatum var. boeticum (Boiss.) Lange,Hypericum undulatum,Hypericum tetrapterum var. tetrapterum,Hypericum tetrapterum
Hypericum tetrapterum var. rotundifolium Willk.,Hypericum undulatum var. boeticum (Boiss.) Lange,Hypericum undulatum var. boeticum (Boiss.) Lange,Hypericum undulatum var. boeticum (Boiss.) Lange,Hypericum undulatum,Hypericum tetrapterum var. tetrapterum,Hypericum tetrapterum
Acetosella multifida subsp. vulgaris (Fourr.) Kubát,Rumex acetosella L.,Rumex acetosella L.,Rumex acetosella L.,Rumex acetosella,Rumex acetosella subsp. acetosella,Rumex acetosella
Sapindus saponaria f. microcarpus Radlk.,Sapindus saponaria var. jardiniana F.Br.,Sapindus saponaria var. jardiniana F.Br.,Sapindus saponaria subsp. jardinianus (F.Br.) A.R.Franck,Sapindus saponaria,Sapindus tricarpus (Blanco) A.R.Franck,Sapindus tricarpus
Luisia platyglossa Rchb.f.,Luisia zeylanica Lindl.,Luisia zeylanica Lindl.,Luisia zeylanica Lindl.,Luisia zeylanica,Luisia platyglossa Rchb.f.,Luisia platyglossa
Xylobium corrugatum var. wageneri (Rchb.f.) Schltr.,Teuscheria wageneri (Rchb.f.) Garay,Teuscheria wageneri (Rchb.f.) Garay,Bifrenaria wageneri Rchb.f.,Bifrenaria wageneri,Xylobium corrugatum (Lindl.) Rolfe,Xylobium corrugatum
Xylobium wageneri (Rchb.f.) Schltr.,Teuscheria wageneri (Rchb.f.) Garay,Teuscheria wageneri (Rchb.f.) Garay,Bifrenaria wageneri Rchb.f.,Bifrenaria wageneri,Xylobium corrugatum (Lindl.) Rolfe,Xylobium corrugatum
Breweria trichosanthes Small,Stylisma humistrata (Walter) Chapm.,Stylisma humistrata (Walter) Chapm.,Stylisma humistrata (Walter) Chapm.,Stylisma humistrata,Stylisma patens var. patens,Stylisma patens
Agrosinapis arvensis (L.) Fourr.,Moricandia arvensis (L.) DC.,Moricandia arvensis (L.) DC.,Moricandia arvensis (L.) DC.,Moricandia arvensis,Mutarda arvensis (L.) D.A.German,Mutarda arvensis
Cassia acutifolia Delile,Senna alexandrina Mill.,Senna alexandrina Mill.,Senna alexandrina Mill.,Senna alexandrina,Senna alexandrina var. alexandrina,Senna alexandrina
Amaranthus polygonoides subsp. urceolatus (Andersson) Iamonico,Amaranthus urceolatus Benth.,Amaranthus urceolatus Benth.,Amaranthus urceolatus Benth.,Amaranthus urceolatus,Amaranthus polygonoides subsp. urceolatus (Andersson) Iamonico,Amaranthus polygonoides
Grewia rhamnifolia Roth,Grewia carpinifolia Juss.,Grewia carpinifolia Juss.,Grewia carpinifolia Juss.,Grewia carpinifolia,Grewia rhamnifolia Roth,Grewia rhamnifolia
Robinsonia guianensis (Aubl.) J.F.Gmel.,Quiina guianensis Aubl.,Quiina guianensis Aubl.,Quiina guianensis Aubl.,Quiina guianensis,Touroulia guianensis Aubl.,Touroulia guianensis
Leachia trifoliata Cass.,Coreopsis auriculata L.,Coreopsis auriculata L.,Coreopsis auriculata L.,Coreopsis auriculata,Coreopsis lanceolata L.,Coreopsis lanceolata
Deparia conilii f. yakusimensis (H.Itô) Nakaike,Deparia petersenii var. yakusimensis (H.Itô) M.Kato,Deparia petersenii var. yakusimensis (H.Itô) M.Kato,Deparia petersenii var. yakusimensis (H.Itô) M.Kato,Deparia petersenii,Deparia conilii (Franch. & Sav.) M.Kato,Deparia conilii
