taxon_name_w_authors,v10_accepted_name_w_author,v14_taxon_name_w_authors,v14_chained_accepted_name_w_author,v14_chained_accepted_species,v14_direct_accepted_name_w_author,v14_direct_accepted_species
Dammara rumphii C.Presl,Agathis dammara (Lamb.) Poir.,Agathis dammara (Lamb.) Poir.,Agathis dammara (Lamb.) Poir.,Agathis dammara,Agathis alba (Rumph. ex Valmont) Oken,Agathis alba
Widdringtonia cedarbergensis J.A.Marsh,Widdringtonia wallichii Endl. ex Carrière,Widdringtonia wallichii Endl. ex Carrière,Widdringtonia nodiflora (L.) Powrie,Widdringtonia nodiflora,Widdringtonia cedarbergensis J.A.Marsh,Widdringtonia cedarbergensis
Nepenthes maxima var. lowii (Hook.f.) Becc.,Nepenthes lowii Hook.f.,Nepenthes lowii Hook.f.,Nepenthes lowii Hook.f.,Nepenthes lowii,Nepenthes stenophylla Mast.,Nepenthes stenophylla
Hebe ciliolata (Hook.f.) Cockayne & Allan,Veronica ciliolata (Hook.f.) Cheeseman,Veronica ciliolata (Hook.f.) Cheeseman,Veronica ciliolata (Hook.f.) Cheeseman,Veronica ciliolata,Veronica hookeri (Buchanan) Garn.-Jones,Veronica hookeri
Erythraea chironioides (Griseb.) A.Gray,Gyrandra Griseb.,Gyrandra Griseb.,Gyrandra Griseb.,,Gyrandra chironioides Griseb.,Gyrandra chironioides
Solanum nigrum var. virginicum L.,Solanum alatum Moench,Solanum alatum Moench,Solanum villosum Mill.,Solanum villosum,Solanum emulans Raf.,Solanum emulans
Solanum dillenianum Polgar,Solanum alatum Moench,Solanum alatum Moench,Solanum villosum Mill.,Solanum villosum,Solanum emulans Raf.,Solanum emulans
Senecio hygrophilus Cuatrec.,Senecio humidanus C.Jeffrey,Senecio humidanus C.Jeffrey,Senecio humidanus C.Jeffrey,Senecio humidanus,Senecio burkartii Cabrera,Senecio burkartii
Pyrethrum balsamita (L.) Willd.,Tanacetum balsamita L.,Tanacetum balsamita L.,Tanacetum balsamita L.,Tanacetum balsamita,Tanacetum balsamita var. balsamitoides (Sch.Bip.) P.D.Sell,Tanacetum balsamita
Sphaeropteris gardneri (Hook.) R.M.Tryon,Cyathea gardneri (Hook.) Lellinger,Cyathea gardneri (Hook.) Lellinger,Cyathea mexiae Copel.,Cyathea mexiae,Sphaeropteris gardneri (Hook.) R.M.Tryon,Sphaeropteris gardneri
