accepted_ipni_id,accepted_name,accepted_name_w_author,accepted_family,accepted_rank,accepted_parent,accepted_parent_w_author,accepted_parent_id,accepted_parent_ipni_id,accepted_parent_rank,plant_name_id,ipni_id,taxon_rank,taxon_status,family,genus_hybrid,genus,species_hybrid,species,infraspecific_rank,infraspecies,parenthetical_author,primary_author,publication_author,place_of_publication,volume_and_page,first_published,nomenclatural_remarks,geographic_area,lifeform_description,climate_description,taxon_name,taxon_authors,accepted_plant_name_id,basionym_plant_name_id,replaced_synonym_author,homotypic_synonym,parent_plant_name_id,powo_id,hybrid_formula,reviewed,accepted_species,accepted_species_w_author,accepted_species_ipni_id,accepted_species_id,taxon_name_w_authors
261669-1,Agathis dammara,Agathis dammara (Lamb.) Poir.,Araucariaceae,Species,Agathis,Agathis Salisb.,4503.0,331119-2,Genus,56194,262054-1,Species,Illegitimate,Araucariaceae,,Dammara,,rumphii,,,,C.Presl,,Epimel. Bot.,: 236,(1849 publ. 1851),", nom. illeg.",,,,Dammara rumphii,C.Presl,4514.0,379789.0,Lamb.,T,,262054-1,,Y,Agathis dammara,Agathis dammara (Lamb.) Poir.,261669-1,4514.0,Dammara rumphii C.Presl
264041-1,Widdringtonia wallichii,Widdringtonia wallichii Endl. ex Carrière,Cupressaceae,Species,Widdringtonia,Widdringtonia Endl.,378734.0,11727-1,Genus,378723,294876-1,Species,Illegitimate,Cupressaceae,,Widdringtonia,,cedarbergensis,,,,J.A.Marsh,,Bothalia, 9: 125,(1966),", nom. superfl.",,,,Widdringtonia cedarbergensis,J.A.Marsh,378744.0,378744.0,Endl. ex Carrière,T,,294876-1,,Y,Widdringtonia wallichii,Widdringtonia wallichii Endl. ex Carrière,264041-1,378744.0,Widdringtonia cedarbergensis J.A.Marsh
603752-1,Nepenthes lowii,Nepenthes lowii Hook.f.,Nepenthaceae,Species,Nepenthes,Nepenthes L.,2384949.0,327014-2,Genus,3007920,,Variety,Synonym,Nepenthaceae,,Nepenthes,,maxima,var.,lowii,Hook.f.,Becc.,,Malesia," 3: 3, 10",(1886),,,,,Nepenthes maxima var. lowii,(Hook.f.) Becc.,2383507.0,2383507.0,,T,,3007920-4,,N,Nepenthes lowii,Nepenthes lowii Hook.f.,603752-1,2383507.0,Nepenthes maxima var. lowii (Hook.f.) Becc.
77080108-1,Veronica ciliolata,Veronica ciliolata (Hook.f.) Cheeseman,Plantaginaceae,Species,Veronica,Veronica L.,2453946.0,30005997-2,Genus,2840428,803675-1,Species,Synonym,Plantaginaceae,,Hebe,,ciliolata,,,Hook.f.,Cockayne & Allan,,Trans. & Proc. New Zealand Inst., 57: 39,(1927),,,,,Hebe ciliolata,(Hook.f.) Cockayne & Allan,2605805.0,2544103.0,,T,,803675-1,,N,Veronica ciliolata,Veronica ciliolata (Hook.f.) Cheeseman,77080108-1,2605805.0,Hebe ciliolata (Hook.f.) Cockayne & Allan
16580-1,Gyrandra,Gyrandra Griseb.,Gentianaceae,Genus,,,,,,2800630,367297-1,Species,Illegitimate,Gentianaceae,,Erythraea,,chironioides,,,Griseb.,A.Gray,S.Watson & al.,Bot. California, 1: 479,(1876),", nom. illeg.",,,,Erythraea chironioides,(Griseb.) A.Gray,2836965.0,2836965.0,,T,,367297-1,,N,,,,,Erythraea chironioides (Griseb.) A.Gray
818181-1,Solanum alatum,Solanum alatum Moench,Solanaceae,Species,Solanum,Solanum L.,2936484.0,30000630-2,Genus,2915959,239376-2,Variety,Synonym,Solanaceae,,Solanum,,nigrum,var.,virginicum,,L.,,Sp. Pl.,: 186,(1753),,,,,Solanum nigrum var. virginicum,L.,2915958.0,,,T,,239376-2,,N,Solanum alatum,Solanum alatum Moench,818181-1,2915958.0,Solanum nigrum var. virginicum L.
818181-1,Solanum alatum,Solanum alatum Moench,Solanaceae,Species,Solanum,Solanum L.,2936484.0,30000630-2,Genus,3222082,819010-1,Species,Illegitimate,Solanaceae,,Solanum,,dillenianum,,,,Polgar,,Acta Horti Gothob., 13: 281,(1939),", nom. superfl.",,,,Solanum dillenianum,Polgar,2915958.0,2915959.0,L.,T,,819010-1,,N,Solanum alatum,Solanum alatum Moench,818181-1,2915958.0,Solanum dillenianum Polgar
961743-1,Senecio humidanus,Senecio humidanus C.Jeffrey,Asteraceae,Species,Senecio,Senecio L.,3133705.0,325904-2,Genus,3080377,233273-2,Species,Illegitimate,Asteraceae,,Senecio,,hygrophilus,,,,Cuatrec.,,Collect. Bot. (Barcelona), 3: 274,(1953),", nom. illeg.",,,,Senecio hygrophilus,Cuatrec.,3081051.0,,,T,,233273-2,,N,Senecio humidanus,Senecio humidanus C.Jeffrey,961743-1,3081051.0,Senecio hygrophilus Cuatrec.
249302-2,Tanacetum balsamita,Tanacetum balsamita L.,Asteraceae,Species,Tanacetum,Tanacetum L.,3133920.0,30005379-2,Genus,3111476,240678-1,Species,Synonym,Asteraceae,,Pyrethrum,,balsamita,,,L.,Willd.,,Sp. Pl. ed. 4., 3: 2153,(1803),,,,,Pyrethrum balsamita,(L.) Willd.,3111077.0,3111077.0,,T,,240678-1,,N,Tanacetum balsamita,Tanacetum balsamita L.,249302-2,3111077.0,Pyrethrum balsamita (L.) Willd.
275488-2,Cyathea gardneri,Cyathea gardneri (Hook.) Lellinger,Cyatheaceae,Species,Cyathea,Cyathea Sm.,3189878.0,327998-2,Genus,3159153,241950-2,Species,Synonym,Cyatheaceae,,Sphaeropteris,,gardneri,,,Hook.,R.M.Tryon,,Contr. Gray Herb., 200: 20,(1970),,,,,Sphaeropteris gardneri,(Hook.) R.M.Tryon,3145652.0,3159144.0,,T,,241950-2,,N,Cyathea gardneri,Cyathea gardneri (Hook.) Lellinger,275488-2,3145652.0,Sphaeropteris gardneri (Hook.) R.M.Tryon
