taxon_name_w_authors,v10_accepted_name_w_author,v14_taxon_name_w_authors,v14_chained_accepted_name_w_author,v14_chained_accepted_species,v14_direct_accepted_name_w_author,v14_direct_accepted_species
Echinocactus horridus Gay,Eriosyce curvispina subsp. curvispina,Eriosyce curvispina subsp. curvispina,Eriosyce curvispina (Bertero ex Colla) Katt.,Eriosyce curvispina,Eriosyce horrida (Gay) P.C.Guerrero & Helmut Walter,Eriosyce horrida
Carthamodes Kuntze,Carthamus L.,Carthamus L.,Carthamus L.,,Carduncellus Adans.,
Tamala Raf.,Persea Mill.,Persea Mill.,Persea Mill.,,Tamala Raf.,
Zedoaria Raf.,Amomum Roxb.,Amomum Roxb.,Amomum Roxb.,,Curcuma L.,
Cyperus falciculosus Liebm.,Cyperus squarrosus L.,Cyperus squarrosus L.,Cyperus squarrosus L.,Cyperus squarrosus,Cyperus squarrosus var. squarrosus,Cyperus squarrosus
Cleome nummularia DC.,Cleome rosea Vahl ex DC.,Cleome rosea Vahl ex DC.,Cleome rosea Vahl ex DC.,Cleome rosea,Cleome parviflora subsp. psoraleifolia (DC.) Iltis,Cleome parviflora
Leptosyne DC.,Coreopsis L.,Coreopsis L.,Coreopsis L.,,Leptosyne DC.,
Ribes ferox Sm.,Ribes menziesii Pursh,Ribes menziesii Pursh,Ribes menziesii Pursh,Ribes menziesii,Ribes menziesii var. menziesii,Ribes menziesii
Galypola Nieuwl.,Polygala Tourn. ex L.,Polygala Tourn. ex L.,Polygala Tourn. ex L.,,Senega (DC.) Spach,
Sexilia Raf.,Polygala Tourn. ex L.,Polygala Tourn. ex L.,Polygala Tourn. ex L.,,Senega (DC.) Spach,
Andreettaea Luer,Pleurothallis R.Br.,Pleurothallis R.Br.,Pleurothallis R.Br.,,Andreettaea Luer,
Panicum nitidum Lam.,Dichanthelium dichotomum (L.) Gould,Dichanthelium dichotomum (L.) Gould,Dichanthelium dichotomum (L.) Gould,Dichanthelium dichotomum,Dichanthelium nitidum (Lam.) Mohlenbr.,Dichanthelium nitidum
Conohoria passoura DC.,Rinorea flavescens (Aubl.) Kuntze,Rinorea flavescens (Aubl.) Kuntze,Rinorea flavescens (Aubl.) Kuntze,Rinorea flavescens,Rinorea pubiflora (Benth.) Sprague & Sandwith,Rinorea pubiflora
Euchilus R.Br.,Pultenaea Sm.,Pultenaea Sm.,Pultenaea Sm.,,Euchilus R.Br.,
Lemmatium DC.,Calea L.,Calea L.,Calea L.,,Lemmatium DC.,
Acalypha brasiliensis f. obtusa Müll.Arg.,Acalypha brasiliensis Müll.Arg.,Acalypha brasiliensis Müll.Arg.,Acalypha brasiliensis Müll.Arg.,Acalypha brasiliensis,Acalypha brasiliensis subsp. asterotricha (Müll.Arg.) Cardiel & A.A.C.Sousa,Acalypha brasiliensis
Ajuga pyramidalis f. rubra Svanlund,Ajuga pyramidalis L.,Ajuga pyramidalis L.,Ajuga pyramidalis L.,Ajuga pyramidalis,Ajuga pyramidalis subsp. pyramidalis,Ajuga pyramidalis
Usteria Dennst.,Acalypha L.,Acalypha L.,Acalypha L.,,Symplocos Jacq.,
Acalypha brasiliensis var. asterotricha Müll.Arg.,Acalypha brasiliensis Müll.Arg.,Acalypha brasiliensis Müll.Arg.,Acalypha brasiliensis Müll.Arg.,Acalypha brasiliensis,Acalypha brasiliensis subsp. asterotricha (Müll.Arg.) Cardiel & A.A.C.Sousa,Acalypha brasiliensis
Acalypha brasiliensis var. angustifolia Pax & K.Hoffm.,Acalypha brasiliensis Müll.Arg.,Acalypha brasiliensis Müll.Arg.,Acalypha brasiliensis Müll.Arg.,Acalypha brasiliensis,Acalypha brasiliensis subsp. psilophylla (Müll.Arg.) Cardiel & A.A.C.Sousa,Acalypha brasiliensis
Acalypha brasiliensis var. brevipes Müll.Arg.,Acalypha brasiliensis Müll.Arg.,Acalypha brasiliensis Müll.Arg.,Acalypha brasiliensis Müll.Arg.,Acalypha brasiliensis,Acalypha brasiliensis subsp. psilophylla (Müll.Arg.) Cardiel & A.A.C.Sousa,Acalypha brasiliensis
Acalypha brasiliensis f. cordata Müll.Arg.,Acalypha brasiliensis Müll.Arg.,Acalypha brasiliensis Müll.Arg.,Acalypha brasiliensis Müll.Arg.,Acalypha brasiliensis,Acalypha brasiliensis subsp. asterotricha (Müll.Arg.) Cardiel & A.A.C.Sousa,Acalypha brasiliensis
Acalypha brasiliensis var. cordata (Müll.Arg.) Müll.Arg.,Acalypha brasiliensis Müll.Arg.,Acalypha brasiliensis Müll.Arg.,Acalypha brasiliensis Müll.Arg.,Acalypha brasiliensis,Acalypha brasiliensis subsp. asterotricha (Müll.Arg.) Cardiel & A.A.C.Sousa,Acalypha brasiliensis
Acalypha brasiliensis var. glabrata Müll.Arg.,Acalypha brasiliensis Müll.Arg.,Acalypha brasiliensis Müll.Arg.,Acalypha brasiliensis Müll.Arg.,Acalypha brasiliensis,Acalypha brasiliensis subsp. psilophylla (Müll.Arg.) Cardiel & A.A.C.Sousa,Acalypha brasiliensis
Acalypha brasiliensis var. longipes Müll.Arg.,Acalypha brasiliensis Müll.Arg.,Acalypha brasiliensis Müll.Arg.,Acalypha brasiliensis Müll.Arg.,Acalypha brasiliensis,Acalypha brasiliensis subsp. psilophylla (Müll.Arg.) Cardiel & A.A.C.Sousa,Acalypha brasiliensis
Acalypha brasiliensis var. maxima Müll.Arg.,Acalypha brasiliensis Müll.Arg.,Acalypha brasiliensis Müll.Arg.,Acalypha brasiliensis Müll.Arg.,Acalypha brasiliensis,Acalypha brasiliensis subsp. asterotricha (Müll.Arg.) Cardiel & A.A.C.Sousa,Acalypha brasiliensis
Acalypha integrifolia var. crateriana Coode,Acalypha marginata (Poir.) Spreng.,Acalypha marginata (Poir.) Spreng.,Acalypha marginata (Poir.) Spreng.,Acalypha marginata,Acalypha crateriana (Coode) I.Montero & Cardiel,Acalypha crateriana
Acalypha dupraeana var. sylvicola Baill.,Acalypha oxyodonta (Müll.Arg.) Müll.Arg.,Acalypha oxyodonta (Müll.Arg.) Müll.Arg.,Acalypha amblyodonta (Müll.Arg.) Müll.Arg.,Acalypha amblyodonta,Acalypha brasiliensis subsp. psilophylla (Müll.Arg.) Cardiel & A.A.C.Sousa,Acalypha brasiliensis
Acalypha reticulata var. meiodonta (Baill.) Leandri,Acalypha pervilleana Baill.,Acalypha pervilleana Baill.,Acalypha pervilleana Baill.,Acalypha pervilleana,Acalypha urophylla Baill.,Acalypha urophylla
Acalypha reticulata f. andronea Leandri,Acalypha pervilleana Baill.,Acalypha pervilleana Baill.,Acalypha pervilleana Baill.,Acalypha pervilleana,Acalypha urophylla Baill.,Acalypha urophylla
Acalypha meiodonta Baill.,Acalypha pervilleana Baill.,Acalypha pervilleana Baill.,Acalypha pervilleana Baill.,Acalypha pervilleana,Acalypha urophylla Baill.,Acalypha urophylla
Acalypha andringitrensis Leandri,Acalypha radula Baker,Acalypha radula Baker,Acalypha radula Baker,Acalypha radula,Acalypha andringitrensis Leandri,Acalypha andringitrensis
Acalypha major Baill.,Acalypha weddelliana Baill.,Acalypha weddelliana Baill.,Acalypha accedens Müll.Arg.,Acalypha accedens,Acalypha brasiliensis subsp. psilophylla (Müll.Arg.) Cardiel & A.A.C.Sousa,Acalypha brasiliensis
Acalypha brasiliensis var. psilophylla Müll.Arg.,Acalypha weddelliana Baill.,Acalypha weddelliana Baill.,Acalypha accedens Müll.Arg.,Acalypha accedens,Acalypha brasiliensis subsp. psilophylla (Müll.Arg.) Cardiel & A.A.C.Sousa,Acalypha brasiliensis
Acorus nilghirensis Schott,Acorus calamus var. calamus,Acorus calamus var. calamus,Acorus calamus L.,Acorus calamus,Acorus verus (L.) Raf.,Acorus verus
Acorus griffithii Schott,Acorus calamus var. calamus,Acorus calamus var. calamus,Acorus calamus L.,Acorus calamus,Acorus verus (L.) Raf.,Acorus verus
Acorus calamus var. verus L.,Acorus calamus var. calamus,Acorus calamus var. calamus,Acorus calamus L.,Acorus calamus,Acorus verus (L.) Raf.,Acorus verus
Acorus commutatus Schott,Acorus calamus var. calamus,Acorus calamus var. calamus,Acorus calamus L.,Acorus calamus,Acorus verus (L.) Raf.,Acorus verus
Aerangis venusta Schltr.,Aerangis articulata (Rchb.f.) Schltr.,Aerangis articulata (Rchb.f.) Schltr.,Aerangis articulata (Rchb.f.) Schltr.,Aerangis articulata,Aerangis modesta (Hook.f.) Schltr.,Aerangis modesta
Aerangis alata H.Perrier,Aerangis ellisii (B.S.Williams) Schltr.,Aerangis ellisii (B.S.Williams) Schltr.,Aerangis ellisii (B.S.Williams) Schltr.,Aerangis ellisii,Aerangis cryptodon (Rchb.f.) Schltr.,Aerangis cryptodon
Agathis philippensis Warb.,Agathis dammara (Lamb.) Poir.,Agathis dammara (Lamb.) Poir.,Agathis dammara (Lamb.) Poir.,Agathis dammara,Agathis alba (Rumph. ex Valmont) Oken,Agathis alba
Dammara alba var. celebica Hassk.,Agathis dammara (Lamb.) Poir.,Agathis dammara (Lamb.) Poir.,Agathis dammara (Lamb.) Poir.,Agathis dammara,Agathis alba (Rumph. ex Valmont) Oken,Agathis alba
Agathis regia Warb.,Agathis dammara (Lamb.) Poir.,Agathis dammara (Lamb.) Poir.,Agathis dammara (Lamb.) Poir.,Agathis dammara,Agathis alba (Rumph. ex Valmont) Oken,Agathis alba
Dammara orientalis var. alba C.Knight,Agathis dammara (Lamb.) Poir.,Agathis dammara (Lamb.) Poir.,Agathis dammara (Lamb.) Poir.,Agathis dammara,Agathis alba (Rumph. ex Valmont) Oken,Agathis alba
Agathis hamii Meijer Drees,Agathis dammara (Lamb.) Poir.,Agathis dammara (Lamb.) Poir.,Agathis dammara (Lamb.) Poir.,Agathis dammara,Agathis alba (Rumph. ex Valmont) Oken,Agathis alba
Dammara celebica Koord.,Agathis dammara (Lamb.) Poir.,Agathis dammara (Lamb.) Poir.,Agathis dammara (Lamb.) Poir.,Agathis dammara,Agathis alba (Rumph. ex Valmont) Oken,Agathis alba
Agathis celebica (Koord.) Warb.,Agathis dammara (Lamb.) Poir.,Agathis dammara (Lamb.) Poir.,Agathis dammara (Lamb.) Poir.,Agathis dammara,Agathis alba (Rumph. ex Valmont) Oken,Agathis alba
Dammara orientalis var. pallens Carrière,Agathis dammara (Lamb.) Poir.,Agathis dammara (Lamb.) Poir.,Agathis dammara (Lamb.) Poir.,Agathis dammara,Agathis alba (Rumph. ex Valmont) Oken,Agathis alba
Ajuga pyramidalis f. albida Svanlund,Ajuga pyramidalis L.,Ajuga pyramidalis L.,Ajuga pyramidalis L.,Ajuga pyramidalis,Ajuga pyramidalis subsp. pyramidalis,Ajuga pyramidalis
Ajuga nanti Boreau,Ajuga pyramidalis subsp. pyramidalis,Ajuga pyramidalis subsp. pyramidalis,Ajuga pyramidalis subsp. pyramidalis,Ajuga pyramidalis,Ajuga reptans L.,Ajuga reptans
Ajuga vulgaris subsp. pyramidalis (L.) Rouy,Ajuga pyramidalis subsp. pyramidalis,Ajuga pyramidalis subsp. pyramidalis,Ajuga pyramidalis subsp. pyramidalis,Ajuga pyramidalis,Ajuga pyramidalis L.,Ajuga pyramidalis
Ajuga genevensis subsp. pyramidalis (L.) Bonnier & Layens,Ajuga pyramidalis subsp. pyramidalis,Ajuga pyramidalis subsp. pyramidalis,Ajuga pyramidalis subsp. pyramidalis,Ajuga pyramidalis,Ajuga pyramidalis L.,Ajuga pyramidalis
Alchornea iricurana f. villosula Pax & K.Hoffm.,Alchornea glandulosa subsp. glandulosa,Alchornea glandulosa subsp. glandulosa,Alchornea glandulosa subsp. glandulosa,Alchornea glandulosa,Alchornea glandulosa subsp. iricurana (Casar.) Secco,Alchornea glandulosa
Alnus incana var. lobata Wittr.,Alnus incana (L.) Moench,Alnus incana (L.) Moench,Alnus incana (L.) Moench,Alnus incana,Alnus incana subsp. incana,Alnus incana
Alnus maritima subsp. georgiensis J.A.Schrad. & W.R.Graves,Alnus maritima (Marshall) Muhl. ex Nutt.,Alnus maritima (Marshall) Muhl. ex Nutt.,Alnus maritima (Marshall) Muhl. ex Nutt.,Alnus maritima,Alnus maritima subsp. georgiensis J.A.Schrad. & W.R.Graves,Alnus maritima
Alnus maritima subsp. oklahomensis J.A.Schrad. & W.R.Graves,Alnus maritima (Marshall) Muhl. ex Nutt.,Alnus maritima (Marshall) Muhl. ex Nutt.,Alnus maritima (Marshall) Muhl. ex Nutt.,Alnus maritima,Alnus maritima subsp. oklahomensis J.A.Schrad. & W.R.Graves,Alnus maritima
Alnus oblongata var. oblonga Regel,Alnus maritima (Marshall) Muhl. ex Nutt.,Alnus maritima (Marshall) Muhl. ex Nutt.,Alnus maritima (Marshall) Muhl. ex Nutt.,Alnus maritima,Alnus maritima subsp. maritima,Alnus maritima
Alyxia loeseneriana var. macrocarpa Boiteau,Alyxia loeseneriana Schltr.,Alyxia loeseneriana Schltr.,Alyxia loeseneriana Schltr.,Alyxia loeseneriana,Alyxia paniensis Lannuzel,Alyxia paniensis
Alyxia sharpei P.I.Forst.,Alyxia ruscifolia R.Br.,Alyxia ruscifolia R.Br.,Alyxia ruscifolia R.Br.,Alyxia ruscifolia,Alyxia sharpei P.I.Forst.,Alyxia sharpei
Amsonia arenaria Standl.,Amsonia tomentosa var. stenophylla Kearney & Peebles,Amsonia tomentosa var. stenophylla Kearney & Peebles,Amsonia tomentosa var. stenophylla Kearney & Peebles,Amsonia tomentosa,Amsonia arenaria Standl.,Amsonia arenaria
Orchis coriophora f. alba E.G.Camus,"Anacamptis coriophora (L.) R.M.Bateman, Pridgeon & M.W.Chase","Anacamptis coriophora (L.) R.M.Bateman, Pridgeon & M.W.Chase","Anacamptis coriophora (L.) R.M.Bateman, Pridgeon & M.W.Chase",Anacamptis coriophora,Anacamptis coriophora subsp. coriophora,Anacamptis coriophora
