taxon_name_w_authors,v10_accepted_name_w_author,v14_taxon_name_w_authors,v14_chained_accepted_name_w_author,v14_chained_accepted_species,v14_direct_accepted_name_w_author,v14_direct_accepted_species
13266,13266,13266,13266,12959,13266,12967
13266,4357,4357,4342,4029,5165,4477
Austrocylindropuntia colubrina (A.Cast.) Backeb.,Sorghum bicolor (L.) Moench,Sorghum bicolor (L.) Moench,Sorghum bicolor (L.) Moench,Sorghum bicolor,Sorghum bicolor subsp. bicolor,Sorghum bicolor
1,319,319,319,319,319,319
