,taxon_name_w_authors,v10_11_12_accepted_name_w_author,v13_taxon_name_w_authors,v13_chained_accepted_name_w_author,v13_chained_accepted_species,v13_direct_accepted_name_w_author,v13_direct_accepted_species
1330,Cleome nummularia DC.,Cleome rosea Vahl ex DC.,Cleome rosea Vahl ex DC.,Cleome rosea Vahl ex DC.,Cleome rosea,Cleome parviflora subsp. psoraleifolia (DC.) Iltis,Cleome parviflora
1972,Panicum nitidum Lam.,Dichanthelium dichotomum (L.) Gould,Dichanthelium dichotomum (L.) Gould,Dichanthelium dichotomum (L.) Gould,Dichanthelium dichotomum,Dichanthelium nitidum (Lam.) Mohlenbr.,Dichanthelium nitidum
2041,Conohoria passoura DC.,Rinorea flavescens (Aubl.) Kuntze,Rinorea flavescens (Aubl.) Kuntze,Rinorea flavescens (Aubl.) Kuntze,Rinorea flavescens,Rinorea pubiflora (Benth.) Sprague & Sandwith,Rinorea pubiflora
3117,Acalypha integrifolia var. crateriana Coode,Acalypha marginata (Poir.) Spreng.,Acalypha marginata (Poir.) Spreng.,Acalypha marginata (Poir.) Spreng.,Acalypha marginata,Acalypha crateriana (Coode) I.Montero & Cardiel,Acalypha crateriana
3170,Acalypha dupraeana var. sylvicola Baill.,Acalypha oxyodonta (Müll.Arg.) Müll.Arg.,Acalypha oxyodonta (Müll.Arg.) Müll.Arg.,Acalypha amblyodonta (Müll.Arg.) Müll.Arg.,Acalypha amblyodonta,Acalypha brasiliensis subsp. psilophylla (Müll.Arg.) Cardiel & A.A.C.Sousa,Acalypha brasiliensis
3392,Acalypha major Baill.,Acalypha weddelliana Baill.,Acalypha weddelliana Baill.,Acalypha accedens Müll.Arg.,Acalypha accedens,Acalypha brasiliensis subsp. psilophylla (Müll.Arg.) Cardiel & A.A.C.Sousa,Acalypha brasiliensis
3394,Acalypha brasiliensis var. psilophylla Müll.Arg.,Acalypha weddelliana Baill.,Acalypha weddelliana Baill.,Acalypha accedens Müll.Arg.,Acalypha accedens,Acalypha brasiliensis subsp. psilophylla (Müll.Arg.) Cardiel & A.A.C.Sousa,Acalypha brasiliensis
4504,Ajuga nanti Boreau,Ajuga pyramidalis subsp. pyramidalis,Ajuga pyramidalis subsp. pyramidalis,Ajuga pyramidalis subsp. pyramidalis,Ajuga pyramidalis,Ajuga reptans L.,Ajuga reptans
6177,Angraecum longinode Frapp. ex Cordem.,Angraecum patens Frapp. ex Cordem.,Angraecum patens Frapp. ex Cordem.,Angraecum patens Frapp. ex Cordem.,Angraecum patens,Angraecum costatum Frapp. ex Cordem.,Angraecum costatum
6361,Mystacidium spicatum Cordem.,Angraecum tenellum (Ridl.) Schltr.,Angraecum tenellum (Ridl.) Schltr.,Angraecum tenellum (Ridl.) Schltr.,Angraecum tenellum,Angraecum parvulum Ayres ex S.Moore,Angraecum parvulum
8665,Asperula saxatilis Lam.,Cynanchica nitida subsp. nitida,Cynanchica nitida subsp. nitida,Cynanchica nitida subsp. nitida,Cynanchica nitida,Cynanchica pyrenaica subsp. cynanchica (L.) P.Caputo & Del Guacchio,Cynanchica pyrenaica
8757,Aspidosperma marcgravianum Woodson,Aspidosperma excelsum Benth.,Aspidosperma excelsum Benth.,Aspidosperma excelsum Benth.,Aspidosperma excelsum,Aspidosperma marcgravianum Woodson,Aspidosperma marcgravianum
8960,Attalea camposportoana Burret,Attalea exigua Drude,Attalea exigua Drude,Attalea exigua Drude,Attalea exigua,Attalea compta Mart.,Attalea compta
8970,Attalea gomphococca Mart.,Attalea butyracea (Mutis ex L.f.) Wess.Boer,Attalea butyracea (Mutis ex L.f.) Wess.Boer,Attalea butyracea (Mutis ex L.f.) Wess.Boer,Attalea butyracea,Attalea phalerata Mart. ex Spreng.,Attalea phalerata
8971,Scheelea gomphococca (Mart.) Burret,Attalea butyracea (Mutis ex L.f.) Wess.Boer,Attalea butyracea (Mutis ex L.f.) Wess.Boer,Attalea butyracea (Mutis ex L.f.) Wess.Boer,Attalea butyracea,Attalea phalerata Mart. ex Spreng.,Attalea phalerata
8976,Attalea pycnocarpa Wess.Boer,Attalea butyracea (Mutis ex L.f.) Wess.Boer,Attalea butyracea (Mutis ex L.f.) Wess.Boer,Attalea butyracea (Mutis ex L.f.) Wess.Boer,Attalea butyracea,Attalea sagotii (Trail ex Thurn) Wess.Boer,Attalea sagotii
9008,Attalea phalerata var. concinna L.R.Moreno & O.I.Moreno,Attalea phalerata Mart. ex Spreng.,Attalea phalerata Mart. ex Spreng.,Attalea phalerata Mart. ex Spreng.,Attalea phalerata,Attalea cephalotus Poepp. ex Mart.,Attalea cephalotus
9014,Scheelea leandroana Barb.Rodr.,Attalea phalerata Mart. ex Spreng.,Attalea phalerata Mart. ex Spreng.,Attalea phalerata Mart. ex Spreng.,Attalea phalerata,Attalea butyracea (Mutis ex L.f.) Wess.Boer,Attalea butyracea
9447,Baissea laxiflora Stapf,Baissea multiflora A.DC.,Baissea multiflora A.DC.,Baissea multiflora A.DC.,Baissea multiflora,Baissea laxiflora Stapf,Baissea laxiflora
9448,Baissea thollonii Hua,Baissea multiflora A.DC.,Baissea multiflora A.DC.,Baissea multiflora A.DC.,Baissea multiflora,Baissea laxiflora Stapf,Baissea laxiflora
9654,Elaeagia glomiflora Standl.,Bathysa australis (A.St.-Hil.) K.Schum.,Bathysa australis (A.St.-Hil.) K.Schum.,Bathysa australis (A.St.-Hil.) K.Schum.,Bathysa australis,Bathysa mollis (Rusby) C.M.Taylor & Mald.,Bathysa mollis
9656,Elaeagia mollis Rusby,Bathysa australis (A.St.-Hil.) K.Schum.,Bathysa australis (A.St.-Hil.) K.Schum.,Bathysa australis (A.St.-Hil.) K.Schum.,Bathysa australis,Bathysa mollis (Rusby) C.M.Taylor & Mald.,Bathysa mollis
12322,Trias pusilla J.Joseph & H.Deka,Bulbophyllum moniliforme C.S.P.Parish & Rchb.f.,Bulbophyllum moniliforme C.S.P.Parish & Rchb.f.,Bulbophyllum moniliforme C.S.P.Parish & Rchb.f.,Bulbophyllum moniliforme,"Bulbophyllum jejosephii J.J.Verm., Schuit. & de Vogel",Bulbophyllum jejosephii
13937,"Calamus pachypus W.J.Baker, Bayton, J.Dransf. & Maturb.",Calamus vitiensis Warb. ex Becc.,Calamus vitiensis Warb. ex Becc.,Calamus vitiensis Warb. ex Becc.,Calamus vitiensis,"Calamus pachypus W.J.Baker, Bayton, J.Dransf. & Maturb.",Calamus pachypus
14199,Calanthe candida Bosser,Calanthe sylvatica (Thouars) Lindl.,Calanthe sylvatica (Thouars) Lindl.,Calanthe sylvatica (Thouars) Lindl.,Calanthe sylvatica,Calanthe candida Bosser,Calanthe candida
14242,Calanthe nephroglossa Schltr.,Calanthe triplicata (Willemet) Ames,Calanthe triplicata (Willemet) Ames,Calanthe triplicata (Willemet) Ames,Calanthe triplicata,Calanthe nephroglossa Schltr.,Calanthe nephroglossa
14634,Callitriche palustris var. bifida L.,Callitriche hermaphroditica subsp. hermaphroditica,Callitriche hermaphroditica subsp. hermaphroditica,Callitriche hermaphroditica subsp. hermaphroditica,Callitriche hermaphroditica,Callitriche palustris subsp. palustris,Callitriche palustris
14659,Callitriche capricorni R.Mason,Callitriche sonderi Hegelm.,Callitriche sonderi Hegelm.,Callitriche sonderi Hegelm.,Callitriche sonderi,Callitriche capricorni R.Mason,Callitriche capricorni
18915,Exorrhiza vaupelii Burret,Clinostigma warburgii Becc.,Clinostigma warburgii Becc.,Clinostigma warburgii Becc.,Clinostigma warburgii,Clinostigma savaiiense Christoph.,Clinostigma savaiiense
18916,Clinostigma savaiiense Christoph.,Clinostigma warburgii Becc.,Clinostigma warburgii Becc.,Clinostigma warburgii Becc.,Clinostigma warburgii,Clinostigma savaiiense Christoph.,Clinostigma savaiiense
18917,Clinostigma vaupelii Burret,Clinostigma warburgii Becc.,Clinostigma warburgii Becc.,Clinostigma warburgii Becc.,Clinostigma warburgii,Clinostigma savaiiense Christoph.,Clinostigma savaiiense
