,taxon_name_w_authors,v10_accepted_name_w_author
count,1359750,1359750
unique,1359750,427447
top,Ozoroa obovata var. gomesiana (R.Fern. & A.Fern.) R.Fern. & A.Fern.,Rosa canina L.
freq,1,1135
