,201807_202112
number of old unaccepted species names,461146
old unaccepted species names are now accepted,9672
Number of old Synonyms which are now accepted,9645
Number of old Heterotypicsynonyms which are now accepted,25
Number of old Homotypicsynonyms which are now accepted,3
