,201807_202312
number of new accepted species names,419760
number of old accepted species names,371192
new accepted species names which were previously published,247120
number of new species names,1021625
number of old species names,811581
new species names not in old,359112
species names have disappearedbut this could be due to orthographic changes with authorship,149068
