,taxon_name_w_authors,v10_accepted_name_w_author,v13_taxon_name_w_authors,v13_chained_accepted_name_w_author,v13_chained_accepted_species,v13_direct_accepted_name_w_author,v13_direct_accepted_species
count,9732,9732,9732,9732,9556,9732,9561
unique,9732,3372,3372,3363,3139,3881,3396
top,Bryophyllum peltigerum (Desc.) V.V.Byalt,Sorghum bicolor (L.) Moench,Sorghum bicolor (L.) Moench,Sorghum bicolor (L.) Moench,Sorghum bicolor,Sorghum bicolor subsp. bicolor,Sorghum bicolor
freq,1,330,330,330,330,330,330
