,v10_v13
number of old accepted species names,356292
old accepted species names are no longer accepted,5335
Number which are now Unplaced of which (homotypic)/(heterotypic),213/0/213
Number which are now Synonym of which (homotypic)/(heterotypic),4834/2938/1896
Number which are now Invalid of which (homotypic)/(heterotypic),46/2/44
Number which are now Illegitimate of which (homotypic)/(heterotypic),240/107/133
Number which are now Misapplied of which (homotypic)/(heterotypic),5/2/3
Number which are now Orthographic of which (homotypic)/(heterotypic),2/0/2
